data,date,hits,geo,time,keyword,gprop,category,gender,prior_vperc,prior_vperc_fct
1,2019-06-23T05:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T06:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T07:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T08:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T09:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T10:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T11:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T12:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T13:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T14:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T15:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T16:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T17:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T18:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T19:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T20:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T21:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T22:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-23T23:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T00:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T01:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T02:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T03:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T04:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T05:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T06:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T07:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T08:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T09:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T10:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T11:00:00Z,0,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T12:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T13:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T14:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T15:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T16:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T17:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T18:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T19:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T20:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T21:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T22:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-24T23:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T00:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T01:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T02:00:00Z,NA,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T03:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T04:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T05:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
1,2019-06-25T06:00:00Z,1,US,now 7-d,Bill de Blasio 2020,web,0,Men,0.2 - 0.4% of voters,0.2 - 0.4% of voters
